Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:00,05:50,10h 50m,INR 1100,9 Seats available,"3.7
339",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:30,08:05,12h 35m,INR 459,16 Seats available,"4.4
433",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),19:15,08:31,13h 16m,INR 400,13 Seats available,"4.3
366",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:15,09:20,12h 05m,INR 699,11 Seats available,"4.3
264",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:00,10:15,13h 15m,INR 990,13 Seats available,"4.1
517",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10:25,12h 40m,720,12 Seats available,"4.0
376",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:01,12h 31m,680,9 Seats available,"3.7
331",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),22:00,11:30,13h 30m,INR 799,10 Seats available,"4.1
48",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),20:00,09:30,13h 30m,INR 899,9 Seats available,"4.2
555",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),18:30,07:30,13h 00m,INR 660,9 Seats available,"4.6
595",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 900,12 Seats available,"3.4
299",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Amrutyog Travels,A/C Sleeper (2+1),19:00,06:22,11h 22m,INR 899,19 Seats available,"4.1
294",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:00,06:30,11h 30m,INR 600,12 Seats available,"4.5
406",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIntrCity SmartBus,AC Sleeper (2+1),18:25,05:00,10h 35m,INR 900,3 Seats available,"4.2
127",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Sangitam Travels Tanzanite,A/C Sleeper (2+1),19:30,07:30,12h 00m,INR 905,16 Seats available,"4.3
678",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,10:00,13h 00m,INR 899,10 Seats available,"4.4
651",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),18:30,06:30,12h 00m,INR 500,13 Seats available,"4.0
245",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIndumati Travels,A/C Sleeper (2+1),20:45,07:00,10h 15m,INR 900,14 Seats available,"4.1
378",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 1000,12 Seats available,"4.1
482",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Giroba Travels (Kelkar),NON A/C Airbus (2+2),18:10,05:30,11h 20m,INR 500,22 Seats available,"4.0
127",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,VE A/C Sleeper (2+1),20:00,14:00,18h 00m,661,22 Seats available,"4.6
501",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
